,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Double Doors##other##
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108745DD1N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108745DD2N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108745DD3N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Full Wardrobe, Double Doors",ZXOS108745DD4N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Full Wardrobe,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Lower Door, Double Doors",ZXOS108745DD5N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & File File Pedestal, Double Doors",ZXOS108745DD6N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108745DD7N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Lower Door, File File ",ZXOS108745FF1N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & File File Pedestal, File File",ZXOS108745FF2N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Wardrobe & Lower Door,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108745FF3N,"Stor Wall w/R Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/o Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
