;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##
Left Upper Shelves & File File Pedestal, Right Full Wardrobe;ZXDO1087424N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087425N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087426N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087427N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087431N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087432N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087433N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe;ZXDO1087434N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087435N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087436N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087437N;"Stor Wall w/Open Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Full Wardrobe, Right Upper Shelves & Lower Door;ZXDO1087441N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Full Wardrobe, Right Upper Shelves & File File Pedestal;ZXDO1087442N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal;ZXDO1087443N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Full Wardrobe, Right Full Wardrobe;ZXDO1087444N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Full Wardrobe, Right Upper Wardrobe & Lower Door;ZXDO1087445N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal;ZXDO1087446N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087447N;"Stor Wall w/Open Int,108""wx74""h,Full Wdrb-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Lower Door;ZXDO1087451N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Wardrobe & Lower Door, Right Upper Shelves & File File Pedestal;ZXDO1087452N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Box Box File Pedestal;ZXDO1087453N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Wardrobe & Lower Door, Right Full Wardrobe;ZXDO1087454N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Lower Door;ZXDO1087455N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & File File Pedestal;ZXDO1087456N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087457N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087461N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087462N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087463N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Full Wardrobe;ZXDO1087464N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087465N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087466N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Wardrobe & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087467N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & FF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Lower Door;ZXDO1087471N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Shlvs & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & File File Pedestal;ZXDO1087472N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Shlvs & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal;ZXDO1087473N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Shlvs & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Full Wardrobe;ZXDO1087474N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Full Wdrb-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Lower Door;ZXDO1087475N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Wdrb & Low Dr-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal;ZXDO1087476N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Wdrb & FF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal
Left Upper Wardrobe & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal;ZXDO1087477N;"Stor Wall w/Open Int,108""wx74""h,Up Wdrb & BBF Ped-L Twr Stor,Up Wdrb & BBF Ped-R Twr Stor,w/o Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal
