,Model##other##,Description##other##,Storage Tower##other##,Has Left Double Doors##other##,Has Right Double Doors##other##
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right Double Doors",ZXRS92907FFDDL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,Dbl Drs-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,1
"Upper Wardrobe & Box Box File Pedestal, Left File File, Right File File",ZXRS92907FFFFL,"Stor Wall w/R Twr & Dbl Stor Int,92""wx90""h,Up Wdrb & BBF Ped-R Twr Stor,File/File-L Int Stor,File/File-R Int Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
