;Model##other##;Description##other##;Left Storage Tower##other##;Right Storage Tower##other##;Has Double Doors##other##
Left Upper Shelves & Lower Door, Right Full Wardrobe, File File;ZXSO108741FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Lower Door, File File;ZXSO108741FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Shelves & Lower Door, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108741FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Shelves & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108741FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & Low Dr-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108742DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108742DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108742DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108742DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108742DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108742DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108742DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Lower Door, File File;ZXSO108742FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & File File Pedestal, File File;ZXSO108742FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108742FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Full Wardrobe, File File;ZXSO108742FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Lower Door, File File;ZXSO108742FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108742FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Shelves & File File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108742FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & FF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door, Double Doors;ZXSO108743DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108743DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108743DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe, Double Doors;ZXSO108743DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108743DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108743DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108743DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Lower Door, File File;ZXSO108743FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & File File Pedestal, File File;ZXSO108743FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108743FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Full Wardrobe, File File;ZXSO108743FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Lower Door, File File;ZXSO108743FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108743FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Shelves & Box Box File Pedestal, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108743FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Full Wardrobe, Right Upper Shelves & Lower Door, Double Doors;ZXSO108744DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Full Wardrobe, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108744DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108744DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Full Wardrobe, Right Full Wardrobe, Double Doors;ZXSO108744DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Full Wardrobe, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108744DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108744DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108744DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Full Wardrobe, Right Upper Shelves & Lower Door, File File;ZXSO108744FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Full Wardrobe, Right Upper Shelves & File File Pedestal, File File;ZXSO108744FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Full Wardrobe, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108744FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Full Wardrobe, Right Full Wardrobe, File File;ZXSO108744FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Full Wardrobe, Right Upper Wardrobe & Lower Door, File File;ZXSO108744FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Full Wardrobe, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108744FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Full Wardrobe, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108744FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Full Wdrb-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Full Wardrobe;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Lower Door, Double Doors;ZXSO108745DD1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;1
Left Upper Wardrobe & Lower Door, Right Upper Shelves & File File Pedestal, Double Doors;ZXSO108745DD2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Box Box File Pedestal, Double Doors;ZXSO108745DD3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Full Wardrobe, Double Doors;ZXSO108745DD4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;1
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Lower Door, Double Doors;ZXSO108745DD5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;1
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & File File Pedestal, Double Doors;ZXSO108745DD6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, Double Doors;ZXSO108745DD7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;1
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Lower Door, File File;ZXSO108745FF1L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door;0
Left Upper Wardrobe & Lower Door, Right Upper Shelves & File File Pedestal, File File;ZXSO108745FF2L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Upper Shelves & Box Box File Pedestal, File File;ZXSO108745FF3L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Full Wardrobe, File File;ZXSO108745FF4L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Full Wardrobe;0
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Lower Door, File File;ZXSO108745FF5L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;0
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & File File Pedestal, File File;ZXSO108745FF6L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal;0
Left Upper Wardrobe & Lower Door, Right Upper Wardrobe & Box Box File Pedestal, File File;ZXSO108745FF7L;"Stor Wall w/L Stor Int,108""wx74""h,Up Wdrb & Low Dr-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light";Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door;Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal;0
