,Model##other##,Description##other##,Left Storage Tower##other##,Right Storage Tower##other##,Has Double Doors##other##
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Box Box File Pedestal, Double Doors",ZXOS108903DD7L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,Dbl Drs,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,1
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Lower Door, File File ",ZXOS108903FF1L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & File File Pedestal, File File",ZXOS108903FF2L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Shelves & Box Box File Pedestal, File File",ZXOS108903FF3L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Full Wardrobe, File File",ZXOS108903FF4L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Full Wardrobe,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Lower Door, File File ",ZXOS108903FF5L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Lower Door,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & File File Pedestal, File File",ZXOS108903FF6L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & File/File Pedestal,0
"Left Upper Shelves & Box/Box/File Pedestal,Right Upper Wardrobe & Box Box File Pedestal, File File",ZXOS108903FF7L,"Stor Wall w/R Stor Int,108""wx90""h,Up Shlvs & BBF Ped-L Twr Stor,FF,Up Wdrb & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,Storage-Unit-Teknion-Tower : Upper Wardrobe & Box/Box/File Pedestal,0
"Left Full Wardrobe,Right Upper Shelves & Lower Door,  Double Doors, Double Door",ZXOS108904DD1L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & Low Dr-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Lower Door,1
"Left Full Wardrobe,Right Upper Shelves & File File Pedestal, Double Doors",ZXOS108904DD2L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & FF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & File/File Pedestal,1
"Left Full Wardrobe,Right Upper Shelves & Box Box File Pedestal, Double Doors",ZXOS108904DD3L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Up Shlvs & BBF Ped-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Upper Shelves & Box/Box/File Pedestal,1
"Left Full Wardrobe,Right Full Wardrobe, Double Doors",ZXOS108904DD4L,"Stor Wall w/R Stor Int,108""wx90""h,Full Wdrb-L Twr Stor,Dbl Drs,Full Wdrb-R Twr Stor,w/Light",Storage-Unit-Teknion-Tower : Full Wardrobe,Storage-Unit-Teknion-Tower : Full Wardrobe,1
